A^3+B^3=C^3+D^3=S
0<A<B 0<C<D
B,D <= 1000
gcd(A,B,C,D)=1


         S       A    B       C    D
      1729      10    9      12    1
      4104      15    9      16    2
     20683      24   19      27   10
     39312      33   15      34    2
     40033      33   16      34    9
     64232      36   26      39   17
     65728      33   31      40   12
    134379      43   38      51   12
    149389      50   29      53    8
    171288      54   24      55   17
    195841      57   22      58    9
    216027      59   22      60    3
    327763      58   51      67   30
    402597      61   56      69   42
    439101      69   48      76    5
    443889      73   38      76   17
    515375      71   54      80   15
    684019      75   64      82   51
    704977      86   41      89    2
    805688      92   30      93   11
    842751      84   63      94   23
    920673      96   33      97   20
    955016      89   63      98   24
    984067      92   59      98   35
    994688      92   60      99   29
   1009736      93   59      96   50
   1016496      90   66      97   47
   1073375      95   60     102   23
   1092728      94   64     103    1
   1331064     101   67     110    4
   1533357      93   90     109   62
   1609272      94   92     113   55
   1845649     120   49     121   42
   2048391     106   95     127    2
   2418271     116   95     134   23
   2691451     123   94     139   18
   2864288     121  103     142   10
   3242197     138   85     141   76
   3375001     144   73     150    1
   3375008     141   83     150    2
   3511872     151   41     152    4
   3587409     122  121     153   18
   3813992     125  123     156   26
   4174281     153   84     161   10
   4342914     137  121     163   23
   4505949     157   86     165   24
   4511808     152  100     165   27
   4607064     135  129     166   32
   4673088     164   64     167   25
   4931101     157  102     165   76
   5135104     163   93     172   36
   5318677     141  136     174   37
   5446359     144  135     172   71
   5772403     162  115     178   51
   5799339     166  107     179   40
   6013000     165  115     178   72
   6017193     166  113     180   57
   6058747     163  120     172   99
   6230504     181   67     184   10
   6434883     184   59     186    3
   6517000     175  105     184   66
   7620661     174  133     196   45
   7882245     166  149     192   93
   8275176     183  129     202   32
   8493039     200   79     204   15
   8872487     183  140     207   14
   9261729     172  161     210    9
   9443761     185  146     209   68
  10036845     206  109     213   72
  10202696     177  167     216   50
  10424232     211  101     218   40
  10469816     206  120     215   81
  10702783     183  166     202  135
  10765603     186  163     219   64
  10811017     198  145     217   84
  10821896     197  147     210  116
  11097567     192  159     223   20
  11478584     220   94     223   73
  11548089     225   54     226   17
  11557000     225   55     226   24
  12650337     225  108     233   10
  12753160     194  176     233   47
  13489875     204  171     235   80
  13490533     229  114     238   21
  13623913     193  186     228  121
  14482503     239   94     240   87
  14916727     240  103     246   31
  14978061     214  173     246   45
  15187041     218  169     225  156
  15201368     207  185     246   68
  15398936     213  179     246   80
  15438250     235  135     249    1
  15682680     222  168     241  119
  16387189     206  197     254    5
  16587207     236  151     255   18
  16776487     220  183     255   58
  16983854     231  167     257   21
  17045567     216  191     254   87
  17999072     209  207     246  146
  18406603     262   75     264   19
  18617625     257  118     265   20
  19250163     267   60     268   11
  20072017     244  177     270   73
  20616463     258  151     268  111
  21125384     240  194     275   69
  21994875     276   99     280   35
  22426369     257  176     281   62
  22543417     273  130     282   49
  24666560     288   92     291   29
  24767171     284  123     291   50
  24897817     256  201     292    9
  25164405     237  228     293   22
  25371171     275  166     291   90
  26122131     236  235     292  107
  26506467     252  219     298   35
  27831951     290  151     303   24
  27882127     247  234     303   40
  28703269     280  189     306   37
  29791125     309   66     310    5
  31256000     252  248     315    5
  32114143     276  223     304  159
  32530680     318   72     319   41
  32973759     295  194     319   80
  33108264     279  225     298  188
  36050904     323  133     326  112
  37498032     285  243     334   62
  38253878     321  173     335   87
  39639691     331  150     339   88
  40134584     331  157     340   94
  40183262     339  107     341   81
  40354119     322  191     343    8
  40519115     278  267     339  116
  41258737     337  144     345   58
  41301953     306  233     345   62
  41343640     323  197     344   86
  41436873     281  268     345   72
  41511232     334  162     343  105
  41892515     302  243     347   48
  42154840     327  193     348   22
  42276843     298  251     348   51
  43852536     309  243     352   62
  43946000     285  275     342  158
  43997625     305  250     353   22
  44409995     339  176     347  138
  45882739     354  115     358    3
  46343059     326  227     356  107
  48316662     333  225     359  127
  49849856     359  153     368   24
  51278929     305  284     368  113
  52242463     351  208     354  199
  52739288     333  251     375   17
  53226297     374   97     376   41
  54267003     355  212     363  186
  54269091     323  274     347  232
  54814509     302  301     378   93
  56388339     331  272     370  179
  57066633     345  252     385    2
  58438072     309  307     388   30
  59913728     368  216     387  125
  60271939     379  180     388  123
  60698521     337  282     393    4
  61555832     324  302     393   95
  61568208     333  291     394   74
  62108397     365  238     396   21
  65272753     337  300     393  166
  65573928     394  164     401  103
  66469429     376  237     405   34
  66763333     334  309     352  285
  68007673     378  241     385  222
  69583995     398  187     411   54
  69625969     362  281     410   89
  70449093     382  245     413   16
  70957971     334  323     414    3
  71292312     365  283     408  150
  71509312     414   82     415   33
  73369088     408  176     417   95
  73819863     367  290     404  199
  73842713     393  236     417  110
  77129864     354  320     423  113
  77414967     386  271     423  120
  79598125     412  213     430   45
  79692193     366  313     430   57
  80102574     399  255     427  131
  80208576     352  332     425  151
  84266000     435  125     438   62
  84637287     431  166     439   32
  86316741     394  293     437  142
  87029432     380  318     443   45
  87539319     414  255     423  228     436  167    # Only the pairs (414,255 , 436,167) and (423,228 , 436,167) have a greatest common divisor of 1
  88129323     422  235     443  106
  89576767     444  127     447   64
  90527229     436  197     445  134
  91034307     379  332     443  160
  91140435     434  211     448  107
  94100426     363  359     449  153
  95547816     456   90     457   47
  95731489     456   97     457   66
  96753187     420  283     454  147
  97867441     456  145     460   81
  98040969     402  321     460   89
  99768753     401  328     462  105
 101194704     459  165     466    2
 101700872     413  315     444  242
 104212017     404  337     470   73
 105997327     431  296     452  239
 106243219     388  363     426  307
 106496767     448  255     474    7
 110087432     443  285     479   57
 111485673     465  222     472  185
 111906333     464  229     477  150
